121;SOC20100;BOYOLALI,KAB.BOYOLALI;2021-07-02;2021-07-02
122;KOE21000;WAINGAPU,KAB.SUMBA TIMUR;2021-07-02;2021-07-02
123;KOE21100;WAIKABUBAK;2021-07-02;2021-07-02
124;KRW10000;KARAWANG;2021-07-02;2021-07-02
125;KRW10003;CIKAMPEK,KARAWANG;2021-07-02;2021-07-02
126;KRW10012;RENGASDENGKLOK,KARAWANG;2021-07-02;2021-07-02
127;MDC10000;MANADO;2021-07-02;2021-07-02
128;MDC20100;KOTAMOBAGU,KOTAMOBAGU;2021-07-02;2021-07-02
129;MDC20200;TAHUNA,KEP.SANGIHE;2021-07-02;2021-07-02
130;MDC20300;TONDANO,KAB.MINAHASA;2021-07-02;2021-07-02
131;MDN10000;MADIUN;2021-07-02;2021-07-02
132;BTJ10200;LHOKSEUMAWE;2021-07-02;2021-07-02
133;BTJ20100;BIREUEN;2021-07-02;2021-07-02
134;BTJ20200;KUTACANE;2021-07-02;2021-07-02
135;CBN20100;INDRAMAYU;2021-07-02;2021-07-02
136;CBN20200;KUNINGAN, KAB KUNINGAN;2021-07-02;2021-07-02
137;CXP10011;KESUGIHAN,CILACAP;2021-07-02;2021-07-02
138;CXP20000;KROYA,CILACAP;2021-07-02;2021-07-02
139;CXP10017;SIDAREJA,CILACAP;2021-07-02;2021-07-02
140;DJB10000;JAMBI;2021-07-02;2021-07-02
141;DJB10100;KUALATUNGKAL;2021-07-02;2021-07-02
142;DJB20100;BANGKO,KAB.MERANGIN;2021-07-02;2021-07-02
143;DJB20200;MUARABULIAN,KAB.BATANG HARI;2021-07-02;2021-07-02
144;DJB20204;MUARATEMBESI,MUARABULIAN;2021-07-02;2021-07-02
145;DJB20300;MUARABUNGO,KAB.BUNGO;2021-07-02;2021-07-02
146;DJB20400;SUNGAIPENUH,KAB.KERINCI;2021-07-02;2021-07-02
147;DJB20403;DANAU KERINCI,SUNGAIPENUH;2021-07-02;2021-07-02
148;DJJ20100;BIAK;2021-07-02;2021-07-02
149;GTO10000;GORONTALO;2021-07-02;2021-07-02
150;GTO20100;LIMBOTO,KAB.GORONTALO;2021-07-02;2021-07-02
151;JBR10000;JEMBER;2021-07-02;2021-07-02
152;JBR20100;BANYUWANGI, KAB BANYUWANGI;2021-07-02;2021-07-02
153;JOG10000;YOGYAKARTA;2021-07-02;2021-07-02
154;MDN20100;MAGETAN, KAB MAGETAN;2021-07-02;2021-07-02
155;MDN20200;NGAWI, KAB NGAWI;2021-07-02;2021-07-02
